dt,name,code,score
2016.08.17,LG,'003550,4
2016.08.17,CJ,'001040,4
2016.08.16,에스엠,'041510,4
2016.08.16,한섬,'020000,4
2016.08.16,한화생명,'088350,1
2016.08.16,넥센타이어,'002350,4
2016.08.16,금호석유,'011780,4
2016.08.16,SK가스,'018670,4
2016.08.16,하이트진로,'000080,4
2016.09.05,대봉엘에스,'078140,4
2016.09.02,SK케미칼,'006120,4
2016.09.02,휴켐스,'069260,4
2016.09.02,롯데케미칼,'011170,4
2016.09.01,대한유화,'006650,4
2016.08.31,서울반도체,'046890,4
2016.08.31,메디톡스,'086900,4
2016.08.30,롯데쇼핑,'023530,4
2016.08.30,BGF리테일,'027410,4
2016.08.30,GS리테일,'007070,4
2016.08.29,한국전력,'015760,4
2016.08.29,하이록코리아,'013030,4
2016.08.29,삼진제약,'005500,4
2016.08.29,삼립식품,'005610,4
2016.08.29,셀트리온,'068270,4
2016.08.26,씨젠,'096530,4
2016.08.26,광동제약,'009290,4
2016.08.24,두산엔진,'082740,4
